State,Year,University/College,Campus,"Student 
Enrollment1","Violent 
Crime",Murder and nonnegligent manslaughter,Rape2,Robbery,Aggravated assault,"Property 
Crime",Burglary,"Larceny-
theft",Motor vehicle theft,Arson3
ARKANSAS,2023,University of Arkansas:,Monticello,"3,912",0,0,0,0,0,12,2,10,0,0
ARKANSAS,2023,University of Arkansas:,Pine Bluff,"2,898",2,0,0,0,2,28,1,27,0,0
ARKANSAS,2023,University of Arkansas:,Pulaski Technical College ,"6,404",0,0,0,0,0,7,0,7,0,0
ARKANSAS,2023,University of Arkansas Community College at Morrilton,,"2,508",0,0,0,0,0,4,1,3,0,0
ARKANSAS,2023,University of Central Arkansas,,"11,548",3,0,1,0,2,49,4,45,0,0
CALIFORNIA,2023,Allan Hancock College,,"15,100",0,0,0,0,0,36,8,27,1,0
CALIFORNIA,2023,California State Polytechnic University:,Humboldt,"6,615",4,0,1,2,1,70,6,63,1,4
CALIFORNIA,2023,California State Polytechnic University:,Pomona,"31,117",5,0,3,2,0,189,13,170,6,0
CALIFORNIA,2023,California State Polytechnic University:,San Luis Obispo,"23,187",0,0,0,0,0,159,15,102,42,5
CALIFORNIA,2023,California State University:,Bakersfield ,"12,639",0,0,0,0,0,28,2,23,3,0
CALIFORNIA,2023,California State University:,Channel Islands,"7,861",3,0,1,1,1,29,1,25,3,0
CALIFORNIA,2023,California State University:,Chico,"17,049",4,0,0,0,4,122,4,114,4,1
CALIFORNIA,2023,California State University:,Dominguez Hills,"19,500",2,0,0,1,1,51,6,38,7,0
CALIFORNIA,2023,California State University:,East Bay,"17,465",3,0,2,0,1,50,2,38,10,0
CALIFORNIA,2023,California State University:,Fresno,"26,981",8,0,2,0,6,211,7,186,18,1
CALIFORNIA,2023,California State University:,Fullerton,"45,855",4,0,1,0,3,162,4,153,5,0
CALIFORNIA,2023,California State University:,Long Beach,"43,743",12,0,3,1,8,192,12,165,15,1
CALIFORNIA,2023,California State University:,Los Angeles,"29,819",4,0,1,1,2,113,5,83,25,1
CALIFORNIA,2023,California State University:,Monterey Bay,"8,289",6,0,1,0,5,27,2,22,3,0
CALIFORNIA,2023,California State University:,Northridge,"42,700",6,0,3,0,3,230,4,220,6,6
CALIFORNIA,2023,California State University:,Sacramento,"36,505",8,0,7,1,0,192,37,123,32,2
CALIFORNIA,2023,California State University:,San Bernardino,"21,752",14,0,4,2,8,88,2,67,19,1
CALIFORNIA,2023,California State University:,San Jose,"40,879",29,0,3,5,21,288,20,249,19,11
CALIFORNIA,2023,California State University:,San Marcos,"17,470",8,0,4,0,4,47,1,44,2,0
CALIFORNIA,2023,California State University:,Stanislaus,"12,022",3,0,0,1,2,17,4,10,3,0
CALIFORNIA,2023,Chaffey College,,"27,715",0,0,0,0,0,16,5,10,1,1
CALIFORNIA,2023,College of the Sequoias,,"15,695",0,0,0,0,0,27,5,20,2,0
CALIFORNIA,2023,Contra Costa Community College,,"45,303",3,0,0,0,3,78,21,45,12,0
CALIFORNIA,2023,Cuesta College,,"13,943",0,0,0,0,0,1,0,1,0,0
CALIFORNIA,2023,El Camino College,,"28,431",6,1,0,0,5,31,6,23,2,0
CALIFORNIA,2023,Foothill-De Anza College,,"49,973",1,0,0,1,0,18,1,17,0,1
CALIFORNIA,2023,Irvine Valley College,,"17,098",0,0,0,0,0,5,0,5,0,0
CALIFORNIA,2023,Los Rios Community College,,"105,677",4,0,0,3,1,35,5,28,2,1
CALIFORNIA,2023,Marin Community College,,"6,770",0,0,0,0,0,8,3,4,1,0
CALIFORNIA,2023,MiraCosta College,,"16,847",1,0,1,0,0,10,1,9,0,0
CALIFORNIA,2023,Mt. San Jacinto College,,"19,567",0,0,0,0,0,14,3,8,3,0
CALIFORNIA,2023,Pasadena Community College,,"31,175",2,0,0,0,2,54,3,42,9,0
CALIFORNIA,2023,Riverside Community College,,"53,049",2,0,0,2,0,31,4,23,4,0
CALIFORNIA,2023,San Bernardino Community College,,"22,939",3,0,0,1,2,47,11,35,1,0
CALIFORNIA,2023,San Diego Community College,,"72,038",11,0,2,0,9,34,1,32,1,1
CALIFORNIA,2023,San Diego State University,,"39,053",26,0,9,3,14,300,19,266,15,2
CALIFORNIA,2023,San Francisco State University,,"30,339",11,0,4,4,3,131,2,113,16,1
CALIFORNIA,2023,San Joaquin Delta College,,"23,945",4,0,0,1,3,35,4,29,2,13
CALIFORNIA,2023,San Jose/Evergreen Community College,,"24,322",2,0,0,0,2,20,7,13,0,3
CALIFORNIA,2023,Sonoma County Junior College,,"23,100",4,0,3,0,1,24,3,20,1,0
CALIFORNIA,2023,Sonoma State University,,"8,173",3,0,2,0,1,46,6,40,0,0
CALIFORNIA,2023,State Center Community College District,,"57,197",3,0,0,0,3,96,16,71,9,2
CALIFORNIA,2023,University of California:,Berkeley,"47,911",74,0,9,14,51,"1,150",69,567,514,15
CALIFORNIA,2023,University of California:,Davis,"42,855",19,0,8,3,8,853,93,606,154,8
CALIFORNIA,2023,University of California:,Irvine,"38,705",9,0,7,0,2,486,16,455,15,1
CALIFORNIA,2023,University of California:,Los Angeles,"48,638",78,0,15,10,53,895,132,434,329,11
CALIFORNIA,2023,University of California:,"Medical Center, Sacramento2",,9,0,1,0,8,108,5,94,9,3
CALIFORNIA,2023,University of California:,Merced,"9,593",6,0,2,0,4,48,1,42,5,1
CALIFORNIA,2023,University of California:,Riverside,"28,930",8,0,5,1,2,421,30,334,57,0
CALIFORNIA,2023,University of California:,San Diego,"44,132",10,0,2,1,7,890,31,438,421,6
CALIFORNIA,2023,University of California:,San Francisco,"3,286",17,0,1,4,12,316,48,211,57,2
CALIFORNIA,2023,University of California:,Santa Barbara,"28,256",32,0,19,0,13,455,23,382,50,4
CALIFORNIA,2023,University of California:,Santa Cruz,"21,432",7,0,4,0,3,211,4,202,5,2
CALIFORNIA,2023,Ventura County Community College District ,,"46,678",4,0,0,1,3,40,15,19,6,0
CALIFORNIA,2023,West Valley-Mission College,,"20,535",1,0,0,0,1,18,5,13,0,0
COLORADO,2023,Adams State University,,"3,833",4,0,2,0,2,37,3,33,1,0
COLORADO,2023,Auraria Higher Education Center2,,,2,0,2,0,0,56,5,44,7,1
COLORADO,2023,Colorado School of Mines,,"7,789",1,0,0,0,1,96,4,89,3,0
COLORADO,2023,Colorado State University,Fort Collins,"36,664",13,0,4,4,5,356,14,330,12,3
COLORADO,2023,Fort Lewis College,,"3,983",2,0,2,0,0,22,3,19,0,0
COLORADO,2023,Red Rocks Community College,,"9,917",0,0,0,0,0,11,2,6,3,0
COLORADO,2023,University of Colorado:,Boulder,"43,746",14,0,6,1,7,499,52,437,10,11
COLORADO,2023,University of Colorado:,Colorado Springs,"15,264",6,0,3,0,3,88,2,80,6,0
COLORADO,2023,University of Colorado:,Denver,"29,833",2,0,1,1,0,148,2,50,96,0
COLORADO,2023,University of Northern Colorado,,"12,017",1,0,1,0,0,141,3,127,11,0
CONNECTICUT,2023,Central Connecticut State University,,"11,260",3,0,3,0,0,38,6,31,1,0
CONNECTICUT,2023,Eastern Connecticut State University,,"4,736",1,0,1,0,0,3,0,3,0,0
CONNECTICUT,2023,Southern Connecticut State University,,"10,270",0,0,0,0,0,19,0,13,6,0
CONNECTICUT,2023,University of Connecticut,All Campuses2,,6,0,3,2,1,133,13,86,34,3
CONNECTICUT,2023,Western Connecticut State University,,"5,567",0,0,0,0,0,4,0,4,0,0
CONNECTICUT,2023,Yale University,,"15,828",7,0,2,1,4,294,24,217,53,2
DELAWARE,2023,Delaware State University,,"5,770",15,0,5,1,9,81,12,67,2,1
DELAWARE,2023,University of Delaware,,"25,903",5,0,3,0,2,140,9,122,9,2
FLORIDA,2023,Florida A&M University,,"10,142",3,0,1,0,2,19,9,10,0,0
FLORIDA,2023,Florida Atlantic University,,"36,580",3,0,2,0,1,73,5,55,13,0
FLORIDA,2023,Florida International University,,"71,842",8,0,4,1,3,160,13,147,0,0
FLORIDA,2023,Florida Polytechnic University,,"1,644",0,0,0,0,0,3,0,3,0,0
FLORIDA,2023,Florida State University:,Panama City2,,0,0,0,0,0,3,1,2,0,0
FLORIDA,2023,Florida State University:,Tallahassee,"51,109",18,0,9,3,6,226,46,180,0,2
FLORIDA,2023,New College of Florida,,690,2,0,0,0,2,21,2,19,0,0
FLORIDA,2023,Santa Fe College,,"17,038",0,0,0,0,0,10,1,9,0,0
FLORIDA,2023,University of Central Florida,,"82,075",13,1,4,3,5,154,12,122,20,0
FLORIDA,2023,University of Florida,,"62,839",12,0,5,1,6,237,15,222,0,0
FLORIDA,2023,University of North Florida,,"19,743",7,0,3,2,2,71,2,59,10,0
FLORIDA,2023,University of West Florida,,"16,786",2,0,2,0,0,27,1,26,0,0
GEORGIA,2023,Abraham Baldwin Agricultural College,,"4,506",2,0,2,0,0,12,0,11,1,0
GEORGIA,2023,Albany Technical College,,"3,764",0,0,0,0,0,0,0,0,0,0
GEORGIA,2023,Athens Technical College,,"5,404",0,0,0,0,0,0,0,0,0,0
GEORGIA,2023,Augusta Technical College,,"5,404",0,0,0,0,0,2,0,2,0,0
GEORGIA,2023,Augusta University,,"10,103",2,0,1,0,1,126,9,109,8,0
GEORGIA,2023,Berry College,,"2,467",1,0,1,0,0,9,1,8,0,0
GEORGIA,2023,Chattahoochee Technical College,,"12,892",0,0,0,0,0,3,0,3,0,0
GEORGIA,2023,Clayton State University,,"8,179",3,0,2,0,1,26,2,16,8,0
GEORGIA,2023,Emory University,,"16,112",14,0,7,2,5,283,23,251,9,0
GEORGIA,2023,Fort Valley State University,,"3,083",1,0,1,0,0,23,1,19,3,0
GEORGIA,2023,Georgia College and State University,,"7,823",1,0,1,0,0,25,2,19,4,0
GEORGIA,2023,Georgia Gwinnett College,,"13,485",5,0,2,1,2,32,0,32,0,0
GEORGIA,2023,Georgia Highlands College,,"6,759",0,0,0,0,0,1,0,1,0,0
GEORGIA,2023,Georgia Institute of Technology,,"52,051",8,0,3,1,4,346,28,218,100,3
GEORGIA,2023,Georgia Military College,,"11,895",0,0,0,0,0,0,0,0,0,0
GEORGIA,2023,Georgia Northwestern Technical College,,"8,484",0,0,0,0,0,1,0,1,0,0
GEORGIA,2023,Georgia Piedmont Technical College,,"3,811",0,0,0,0,0,5,0,4,1,2
GEORGIA,2023,Georgia Southern University,,"31,296",3,0,2,1,0,84,4,75,5,0
GEORGIA,2023,Georgia Southwestern State University,,"3,893",0,0,0,0,0,1,0,1,0,0
GEORGIA,2023,Georgia State University,,"43,099",7,0,3,1,3,159,8,142,9,0
GEORGIA,2023,Gordon State College,,"3,680",2,0,1,0,1,8,3,3,2,0
GEORGIA,2023,Gwinnett Technical College,,"11,022",0,0,0,0,0,0,0,0,0,0
GEORGIA,2023,Kennesaw State University,,"49,988",3,0,2,1,0,66,5,57,4,0
GEORGIA,2023,Mercer University,,"10,454",2,0,1,1,0,65,0,59,6,0
GEORGIA,2023,Middle Georgia State University,,"9,816",1,0,1,0,0,27,2,22,3,0
GEORGIA,2023,Morehouse College,,"2,924",1,0,1,0,0,25,3,21,1,0
GEORGIA,2023,Piedmont College ,,"2,632",0,0,0,0,0,0,0,0,0,0
GEORGIA,2023,Southern Regional Technical College,,"5,923",0,0,0,0,0,0,0,0,0,0
GEORGIA,2023,University of North Georgia,,"22,132",1,0,1,0,0,10,4,6,0,0
GEORGIA,2023,University of West Georgia,,"15,339",1,0,1,0,0,31,1,30,0,0
GEORGIA,2023,West Georgia Technical College,,"9,047",0,0,0,0,0,7,1,6,0,0
ILLINOIS,2023,Chicago State University,,"3,050",1,0,1,0,0,5,1,4,0,0
ILLINOIS,2023,College of DuPage,,"35,659",0,0,0,0,0,8,1,7,0,0
ILLINOIS,2023,College of Lake County,,"20,056",0,0,0,0,0,8,0,8,0,0
ILLINOIS,2023,Eastern Illinois University,,"10,588",5,0,4,1,0,39,2,33,4,0
ILLINOIS,2023,Elgin Community College,,"12,559",0,0,0,0,0,0,0,0,0,0
ILLINOIS,2023,Eureka College,,540,0,0,0,0,0,0,0,0,0,0
ILLINOIS,2023,Harper College,,"21,370",0,0,0,0,0,15,0,15,0,0
ILLINOIS,2023,Illinois Central College,,"10,381",0,0,0,0,0,12,0,12,0,0
ILLINOIS,2023,Illinois State University,,"22,159",5,0,5,0,0,100,3,96,1,0
ILLINOIS,2023,John Wood Community College,,"2,489",0,0,0,0,0,0,0,0,0,0
ILLINOIS,2023,Joliet Junior College,,"20,068",1,0,1,0,0,11,0,11,0,0
ILLINOIS,2023,Kankakee Community College,,"3,654",0,0,0,0,0,0,0,0,0,0
ILLINOIS,2023,Lake Land College,,"8,533",1,0,0,0,1,1,1,0,0,0
ILLINOIS,2023,Lewis University,,"7,779",1,0,1,0,0,19,1,18,0,0
ILLINOIS,2023,Lincoln Land Community College,,"8,495",0,0,0,0,0,1,0,1,0,0
ILLINOIS,2023,Loyola University of Chicago,,"19,998",1,0,1,0,0,48,0,48,0,0
ILLINOIS,2023,McHenry County College,,"12,879",0,0,0,0,0,1,0,1,0,0
ILLINOIS,2023,Millikin University,,"2,124",0,0,0,0,0,15,0,15,0,0
ILLINOIS,2023,Moraine Valley Community College,,"17,409",0,0,0,0,0,2,0,2,0,0
ILLINOIS,2023,Morton College,,"5,414",0,0,0,0,0,3,0,3,0,0
ILLINOIS,2023,Northeastern Illinois University,,"7,862",0,0,0,0,0,1,0,1,0,0
ILLINOIS,2023,Northern Illinois University,,"18,324",21,0,16,1,4,112,12,98,2,1
ILLINOIS,2023,Oakton Community College,,"13,820",0,0,0,0,0,1,0,1,0,0
ILLINOIS,2023,Parkland College,,"8,533",0,0,0,0,0,3,0,3,0,0
ILLINOIS,2023,Rend Lake College,,"3,279",0,0,0,0,0,0,0,0,0,0
ILLINOIS,2023,Richland Community College,,"3,488",0,0,0,0,0,1,0,1,0,0
ILLINOIS,2023,Rock Valley College,,"9,175",0,0,0,0,0,6,0,5,1,0
ILLINOIS,2023,Southern Illinois University:,Carbondale,"12,543",1,0,0,0,1,98,1,96,1,0
ILLINOIS,2023,Southern Illinois University:,School of Medicine2,,1,0,0,0,1,8,0,8,0,0
ILLINOIS,2023,South Suburban College,,"7,638",1,0,1,0,0,8,0,7,1,0
ILLINOIS,2023,Southwestern Illinois College,,"14,474",1,0,0,1,0,10,4,6,0,0
ILLINOIS,2023,University of Chicago,Cook County,"20,814",6,0,0,5,1,78,2,60,16,0
ILLINOIS,2023,University of Illinois:,Chicago,"37,397",14,0,3,2,9,324,18,293,13,1
ILLINOIS,2023,University of Illinois:,Springfield,"4,895",2,0,2,0,0,4,0,4,0,0
ILLINOIS,2023,University of Illinois:,Urbana,"62,303",91,0,15,7,69,827,109,606,112,4
ILLINOIS,2023,Waubonsee Community College,,"13,675",0,0,0,0,0,0,0,0,0,0
INDIANA,2023,Indiana State University,,"10,788",4,0,2,0,2,70,3,63,4,0
INDIANA,2023,Indiana University:,Bloomington,"59,231",52,0,22,4,26,340,33,287,20,3
INDIANA,2023,Indiana University:,South Bend,"7,568",1,0,0,0,1,29,3,25,1,0
INDIANA,2023,Purdue University,,"54,814",8,0,1,0,7,377,9,361,7,1
INDIANA,2023,University of Indianapolis,,"5,851",0,0,0,0,0,41,6,28,7,0
INDIANA,2023,University of Notre Dame,,"13,687",4,0,0,0,4,263,3,252,8,0
IOWA,2023,Iowa State University,,"33,010",11,0,7,0,4,96,4,85,7,0
IOWA,2023,University of Iowa,,"32,818",26,0,5,2,19,206,15,172,19,3
IOWA,2023,University of Northern Iowa,,"10,517",3,0,1,1,1,27,4,23,0,0
KANSAS,2023,University of Kansas:,Main Campus,"29,301",4,0,1,1,2,154,5,145,4,0
KANSAS,2023,University of Kansas:,Medical Center2,,22,0,0,1,21,266,1,235,30,0
KANSAS,2023,Washburn University,,"6,507",1,0,0,0,1,61,5,51,5,0
KENTUCKY,2023,Eastern Kentucky University,,"16,584",7,0,6,0,1,80,14,66,0,0
KENTUCKY,2023,Kentucky State University,,"2,981",0,0,0,0,0,0,0,0,0,0
KENTUCKY,2023,Morehead State University,,"10,158",3,0,2,0,1,18,0,16,2,0
KENTUCKY,2023,Murray State University,,"10,885",1,0,1,0,0,44,2,41,1,0
KENTUCKY,2023,Northern Kentucky University,,"19,380",3,0,2,0,1,29,2,27,0,0
KENTUCKY,2023,University of Kentucky,,"32,909",19,0,4,4,11,419,13,372,34,0
KENTUCKY,2023,University of Louisville,,"26,161",8,0,3,2,3,229,20,175,34,1
KENTUCKY,2023,Western Kentucky University,,"19,768",5,0,3,0,2,91,6,84,1,0
LOUISIANA,2023,Louisiana State University:,Baton Rouge,"39,475",21,0,7,3,11,335,76,221,38,0
LOUISIANA,2023,Louisiana State University:,"Health Sciences Center, Shreveport","1,179",7,0,1,1,5,19,0,16,3,0
LOUISIANA,2023,Southern University and A&M College,New Orleans,"2,746",0,0,0,0,0,0,0,0,0,0
LOUISIANA,2023,Tulane University,,"15,270",1,0,0,1,0,120,10,103,7,1
MAINE,2023,University of Maine:,Farmington,"2,259",0,0,0,0,0,6,0,5,1,1
MAINE,2023,University of Maine:,Orono,"15,005",0,0,0,0,0,62,3,59,0,0
MAINE,2023,University of Southern Maine,,"10,236",0,0,0,0,0,29,2,27,0,1
MARYLAND,2023,Bowie State University,,"6,960",12,0,0,3,9,40,4,33,3,0
MARYLAND,2023,Coppin State University,,"2,326",0,0,0,0,0,1,0,1,0,0
MARYLAND,2023,Frostburg State University,,"4,959",4,0,4,0,0,11,5,6,0,0
MARYLAND,2023,Hagerstown Community College,,"4,871",0,0,0,0,0,3,2,1,0,0
MARYLAND,2023,Morgan State University,,"9,224",39,0,5,3,31,45,1,39,5,0
MARYLAND,2023,Salisbury University,,"8,133",2,0,1,1,0,26,1,25,0,0
MARYLAND,2023,St. Mary's College,,"1,629",0,0,0,0,0,27,3,23,1,0
MARYLAND,2023,Towson University,,"23,202",14,0,6,2,6,51,4,44,3,1
MARYLAND,2023,University of Maryland:,Baltimore City,"8,094",9,0,0,2,7,63,2,47,14,0
MARYLAND,2023,University of Maryland:,Baltimore County,"15,492",3,0,3,0,0,75,8,49,18,0
MARYLAND,2023,University of Maryland:,College Park,"42,195",13,0,2,3,8,421,20,367,34,1
MASSACHUSETTS,2023,Amherst College,,"2,041",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2023,Assumption College,,"2,446",2,0,1,0,1,19,3,16,0,0
MASSACHUSETTS,2023,Babson College,,"4,256",1,0,1,0,0,24,2,22,0,0
MASSACHUSETTS,2023,Bentley University,,"5,458",0,0,0,0,0,20,1,19,0,0
MASSACHUSETTS,2023,Boston College,,"16,849",5,0,5,0,0,63,0,62,1,0
MASSACHUSETTS,2023,Boston University,,"43,952",10,0,3,1,6,408,10,398,0,0
MASSACHUSETTS,2023,Brandeis University,,"6,026",2,0,0,1,1,22,2,20,0,0
MASSACHUSETTS,2023,Bridgewater State University,,"11,696",3,0,0,0,3,9,0,8,1,0
MASSACHUSETTS,2023,Bristol Community College,,"8,201",0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,2023,Bunker Hill Community College,,"13,498",0,0,0,0,0,6,0,4,2,0
MASSACHUSETTS,2023,Cape Cod Community College,,"3,828",0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,2023,Clark University,,"3,842",8,0,2,3,3,26,2,24,0,0
MASSACHUSETTS,2023,College of the Holy Cross,,"3,323",1,0,1,0,0,13,2,9,2,2
MASSACHUSETTS,2023,Curry College,,"2,609",0,0,0,0,0,13,3,10,0,0
MASSACHUSETTS,2023,Dean College,,"1,370",0,0,0,0,0,6,1,5,0,0
MASSACHUSETTS,2023,Emerson College,,"6,368",0,0,0,0,0,14,0,14,0,1
MASSACHUSETTS,2023,Endicott College,,"4,851",3,0,2,0,1,7,0,7,0,0
MASSACHUSETTS,2023,Fisher College,,"2,390",0,0,0,0,0,3,0,3,0,0
MASSACHUSETTS,2023,Fitchburg State University,,"10,164",2,0,2,0,0,31,6,24,1,0
MASSACHUSETTS,2023,Framingham State University,,"6,667",1,0,0,0,1,9,0,9,0,0
MASSACHUSETTS,2023,Gordon College,,"2,233",1,0,1,0,0,19,0,19,0,0
MASSACHUSETTS,2023,Greenfield Community College,,"2,042",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2023,Harvard University,,"39,374",22,0,8,2,12,534,28,366,140,2
MASSACHUSETTS,2023,Holyoke Community College,,"4,913",1,0,0,0,1,2,0,2,0,0
MASSACHUSETTS,2023,Lasell College,,"2,057",1,0,0,0,1,6,0,6,0,0
MASSACHUSETTS,2023,Massachusetts Bay Community College,,"5,733",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2023,Massachusetts College of Art,,"2,164",1,0,1,0,0,14,2,12,0,0
MASSACHUSETTS,2023,Massachusetts College of Liberal Arts,,"1,299",1,0,0,0,1,5,0,5,0,0
MASSACHUSETTS,2023,Massachusetts Institute of Technology,,"12,923",2,0,1,0,1,238,16,221,1,0
MASSACHUSETTS,2023,Massasoit Community College,,"8,032",0,0,0,0,0,3,1,2,0,0
MASSACHUSETTS,2023,MCPHS University,,"7,965",0,0,0,0,0,11,1,10,0,0
MASSACHUSETTS,2023,Merrimack College,,"6,665",7,0,3,0,4,13,2,11,0,0
MASSACHUSETTS,2023,Mount Holyoke College,,"2,600",0,0,0,0,0,30,0,30,0,0
MASSACHUSETTS,2023,Mount Wachusett Community College,,"4,219",0,0,0,0,0,2,0,2,0,0
MASSACHUSETTS,2023,Northeastern University,,"37,702",9,0,8,0,1,320,11,307,2,1
MASSACHUSETTS,2023,North Shore Community College,,"6,652",0,0,0,0,0,7,2,5,0,0
MASSACHUSETTS,2023,Quinsigamond Community College,,"8,635",1,0,0,0,1,8,1,7,0,0
MASSACHUSETTS,2023,Salem State University,,"8,470",3,0,1,0,2,24,4,20,0,0
MASSACHUSETTS,2023,Simmons College,,"6,957",0,0,0,0,0,10,0,10,0,0
MASSACHUSETTS,2023,Smith College,,"3,265",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2023,Springfield College,,"3,135",1,0,1,0,0,10,0,3,7,0
MASSACHUSETTS,2023,Springfield Technical Community College,,"5,373",0,0,0,0,0,7,0,7,0,0
MASSACHUSETTS,2023,Stonehill College,,"2,531",3,0,1,0,2,6,0,6,0,0
MASSACHUSETTS,2023,Tufts University:,Medford,"15,523",1,0,0,0,1,21,2,19,0,0
MASSACHUSETTS,2023,Tufts University:,Suffolk2,,1,0,0,0,1,10,0,10,0,0
MASSACHUSETTS,2023,Tufts University:,Worcester2,,0,0,0,0,0,3,0,3,0,0
MASSACHUSETTS,2023,University of Massachusetts:,Amherst,"36,872",13,0,4,1,8,145,12,133,0,0
MASSACHUSETTS,2023,University of Massachusetts:,Dartmouth,"8,837",8,0,5,0,3,35,3,32,0,2
MASSACHUSETTS,2023,University of Massachusetts:,"Harbor Campus, Boston","18,901",2,0,0,0,2,18,1,16,1,0
MASSACHUSETTS,2023,University of Massachusetts:,Lowell,"21,543",4,0,3,0,1,110,16,93,1,0
MASSACHUSETTS,2023,University of Massachusetts:,"Medical Center, Worcester","1,335",12,0,0,0,12,33,2,28,3,0
MASSACHUSETTS,2023,Wellesley College,,"2,548",0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,2023,Wentworth Institute of Technology,,"4,930",3,0,2,0,1,42,2,34,6,0
MASSACHUSETTS,2023,Western New England University,,"4,034",1,0,1,0,0,15,6,9,0,0
MASSACHUSETTS,2023,Westfield State University,,"5,478",7,0,5,0,2,16,2,12,2,0
MASSACHUSETTS,2023,Wheaton College,,"1,781",0,0,0,0,0,6,4,2,0,0
MASSACHUSETTS,2023,Worcester Polytechnic Institute,,"7,761",4,0,0,0,4,27,4,23,0,0
MASSACHUSETTS,2023,Worcester State University,,"7,284",5,1,1,0,3,18,3,15,0,0
MICHIGAN,2023,Delta College,,"9,360",0,0,0,0,0,4,0,4,0,0
MICHIGAN,2023,Eastern Michigan University,,"19,081",21,0,8,0,13,94,5,86,3,0
MICHIGAN,2023,Grand Rapids Community College,,"18,247",0,0,0,0,0,17,2,14,1,0
MICHIGAN,2023,Grand Valley State University,,"25,460",17,0,7,0,10,126,7,116,3,0
MICHIGAN,2023,Kalamazoo Valley Community College,,"10,250",0,0,0,0,0,11,0,11,0,0
MICHIGAN,2023,Kellogg Community College,,"4,813",6,0,0,0,6,1,0,0,1,0
MICHIGAN,2023,Lansing Community College,,"14,324",0,0,0,0,0,15,0,15,0,0
MICHIGAN,2023,Macomb Community College,,"23,559",0,0,0,0,0,8,0,8,0,0
MICHIGAN,2023,Michigan State University,,"53,948",20,3,4,3,10,469,14,425,30,0
MICHIGAN,2023,Michigan Technological University,,"7,402",0,0,0,0,0,30,1,29,0,0
MICHIGAN,2023,Mott Community College,,"8,337",0,0,0,0,0,6,0,6,0,0
MICHIGAN,2023,Northern Michigan University,,"8,042",7,0,6,0,1,18,0,17,1,0
MICHIGAN,2023,Oakland Community College,,"22,047",0,0,0,0,0,7,0,7,0,0
MICHIGAN,2023,Oakland University,,"19,831",2,0,1,1,0,28,1,26,1,0
MICHIGAN,2023,Saginaw Valley State University,,"8,256",7,0,2,0,5,29,6,23,0,0
MICHIGAN,2023,Schoolcraft College,,"13,344",0,0,0,0,0,8,0,7,1,0
MICHIGAN,2023,University of Michigan:,Ann Arbor,"52,356",30,0,6,1,23,506,13,470,23,1
MICHIGAN,2023,University of Michigan:,Dearborn,"9,651",1,0,0,0,1,10,0,10,0,0
MICHIGAN,2023,University of Michigan:,Flint,"7,471",4,0,0,0,4,55,2,48,5,0
MICHIGAN,2023,Washtenaw Community College,,"19,343",1,0,0,0,1,15,0,14,1,0
MICHIGAN,2023,Western Michigan University,,"20,232",6,0,2,0,4,102,0,96,6,1
MINNESOTA,2023,University of Minnesota:,Duluth,"10,708",2,0,0,0,2,24,4,20,0,0
MINNESOTA,2023,University of Minnesota:,Morris,"1,372",0,0,0,0,0,10,0,10,0,0
MINNESOTA,2023,University of Minnesota:,Twin Cities,"60,763",24,0,7,6,11,462,29,380,53,1
MISSISSIPPI,2023,East Mississippi Community College:,Communiversity2,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,East Mississippi Community College:,Golden Triangle2,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,East Mississippi Community College:,Scooba ,"5,481",0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,East Mississippi Community College:,West Point2,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,Holmes Community College:,Goodman,"5,145",0,0,0,0,0,3,0,2,1,0
MISSISSIPPI,2023,Holmes Community College:,Grenada2,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,Holmes Community College:,Ridgeland2,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,Jones County Junior College,,"5,809",0,0,0,0,0,2,0,2,0,0
MISSISSIPPI,2023,Mississippi Delta Community College,,"3,064",0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,Mississippi State University,,"25,666",5,0,2,0,3,53,3,47,3,0
MISSISSIPPI,2023,Northeast Mississippi Community College,,"3,970",0,0,0,0,0,6,1,5,0,1
MISSISSIPPI,2023,Northwest Mississippi Community College:,Desoto2,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,Northwest Mississippi Community College:,Senatobia,"9,175",0,0,0,0,0,4,0,3,1,0
MISSISSIPPI,2023,Pearl River Community College:,Forrest,"6,948",0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2023,Pearl River Community College:,Poplarville2,,2,0,0,0,2,1,0,1,0,0
MISSISSIPPI,2023,University of Mississippi,Oxford,"23,679",6,0,3,1,2,70,8,59,3,1
MISSOURI,2023,Jefferson College,,"4,479",0,0,0,0,0,0,0,0,0,0
